danceability,energy,acousticness,loudness,liked
0.803,0.624,0.451,-6.764,0
0.762,0.703,0.206,-7.951,1
0.261,0.0149,0.992,-27.528,0
0.722,0.736,0.431,-6.994,1
0.787,0.572,0.145,-7.516,1
0.778,0.632,0.0404,-6.415,1
0.666,0.589,0.555,-8.405,1
0.922,0.712,0.0779,-6.024,1
0.794,0.659,0.143,-7.063,0
0.853,0.668,0.263,-6.995,1
0.297,0.993,0.2,-7.173,0
0.816,0.433,0.00471,-9.19,1
0.297,0.973,0.00146,-4.505,0
0.564,0.743,0.584,-5.782,1
0.64,0.957,0.0431,-2.336,1
0.684,0.64,0.221,-9.906,0
0.85,0.853,0.0155,-5.65,1
0.745,0.456,0.44,-9.482,0
0.754,0.475,0.523,-10.889,1
0.797,0.852,0.0555,-5.202,1
0.798,0.835,0.165,-3.832,1
0.438,0.0825,0.983,-21.686,0
0.802,0.549,0.268,-8.6,1
0.6,0.535,0.274,-12.028,1
0.729,0.533,0.747,-10.104,0
0.867,0.457,0.0987,-7.908,1
0.65,0.545,0.271,-7.712,1
0.809,0.574,0.4,-8.546,1
0.749,0.839,0.0867,-4.847,1
0.657,0.333,0.0608,-13.553,1
0.689,0.68,0.392,-6.551,1
0.668,0.459,0.0499,-12.072,1
0.291,0.98,0.00127,-5.138,0
0.573,0.581,0.753,-9.026,1
0.608,0.471,0.446,-8.664,0
0.307,0.0515,0.708,-28.493,0
0.784,0.7,0.491,-7.649,0
0.448,0.97,0.000428,-4.197,0
0.648,0.751,0.0182,-8.582,0
0.895,0.479,0.208,-9.071,1
0.358,0.977,0.7,-8.179,0
0.742,0.423,0.832,-9.795,1
0.603,0.886,0.00045,-3.777,1
0.839,0.629,0.241,-5.663,1
0.184,0.974,0.955,-6.237,0
0.373,0.98,0.000319,-5.016,0
0.826,0.76,0.392,-6.382,0
0.924,0.748,0.174,-3.645,1
0.267,0.0024,0.995,-42.261,0
0.462,0.974,0.119,-5.82,0
0.616,0.534,0.639,-10.264,1
